item_name,price,rating,reviews,brand_name,weighted_review
New Balance Women's 411 V1 Training Shoe,59.99,4.4,13800,New Balance,60720.00000000001
Under Armour Women's Charged Assert 9 Running Shoe,49.97,4.5,13465,Under Armour,60592.5
Lugz Women's Clipper Sneaker,29.87,4.3,13803,Lugz,59352.899999999994
Keds Women's Champion Sneaker,32.63,4.5,13089,Keds,58900.5
LifeStride Women's Giovanna 2 Pump,44.79,4.3,13661,LifeStride,58742.299999999996
Clarks Men's Tilden Cap Oxford,53.34,4.6,12680,Clarks,58327.99999999999
Skechers Work Flex Advantage SRBendon Mens Oxford,55.99,4.4,13140,Skechers,57816.00000000001
adidas Originals Women's Superstar Sneaker,96.23,4.6,12496,adidas Originals,57481.6
Nike Men's Low-Top Sneaker,34.99,4.6,12440,Nike,57223.99999999999
"Crocs Women's Mercy Work Clog | Work Shoes, Nurse Shoes, Chef Shoes",37.49,4.0,14222,Crocs,56888.0
Skechers Men's GOrun Consistent-Athletic Workout Running Walking Shoe Sneaker with Air Cooled Foam,41.0,4.5,12549,Skechers,56470.5
Skechers Women's Go Walk 5-Honor Sneaker,44.99,4.6,12153,Skechers,55903.799999999996
PUMA Men's Cell Surin 2 Sneaker,68.0,4.4,12640,PUMA,55616.00000000001
Skechers Women's Go Walk Lite-15433 Boat Shoe,44.1,4.7,11773,Skechers,55333.1
Columbia Men's Newton Ridge Plus Ii Suede Waterproof Hiking Boot,69.97,4.6,11990,Columbia,55153.99999999999
Hey Dude Men's All Wally Styles | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,30.78,4.8,11486,Hey Dude,55132.799999999996
Ryka Women's Sky Walking Shoe,67.85,4.2,12986,Ryka,54541.200000000004
"OluKai Ohana Men's Beach Sandals, Quick-Dry Flip-Flop Slides, Water Resistant & Lightweight, Compression Molded Footbed & Ultra-Soft Comfort Fit",75.0,4.7,11372,OLUKAI,53448.4
Crocs Unisex-Child Crocband Clogs,22.99,4.8,11128,Crocs,53414.4
"Amazon Essentials Women's Cotton Lightly Cushioned Ankle Socks, Multipacks",17.1,4.6,11563,Amazon Essentials,53189.799999999996
Hey Dude Women's Misty Multiple Colors & Sizes | Women’s Loafers | Women’s Slip On Shoes | Comfortable & Light-Weight,35.74,4.7,11278,Hey Dude,53006.6
adidas Men's Daily 3.0 Skate Shoe,58.99,4.7,11246,adidas,52856.200000000004
Salomon Men's Speedcross 5 Trail Running Shoes,139.95,4.7,11039,Salomon,51883.3
DREAM PAIRS Men's Prince Classic Modern Formal Oxford Wingtip Lace Up Dress Shoes,34.99,4.4,11725,DREAM PAIRS,51590.00000000001
Skechers Women's Microburst One up Fashion Sneaker,49.99,4.3,11985,Skechers,51535.5
LifeStride Women's Suki Pump,44.0,4.4,11677,LifeStride,51378.8
Sperry Men's Billfish 3-Eye Boat Shoe,57.64,4.5,11414,Sperry,51363.0
Hey Dude Men's Wally Eco Stretch | Men's Loafers | Men's Slip On Shoes | Comfortable & Light-Weight,30.32,4.7,10916,Hey Dude,51305.200000000004
Clarks Women's Ashland Lane Q Slip-On Loafer,33.7,4.5,11360,Clarks,51120.0
Under Armour Men’s Ansa Fixed Strap Sandal,24.99,4.5,11302,Under Armour,50859.0
Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks,19.1,4.6,11015,Amazon Essentials,50668.99999999999
adidas Men's CF Lite Racer Byd,47.54,4.6,10799,adidas,49675.399999999994
Bruno Marc Men's Suede Leather Chelsea Ankle Boots,46.99,4.6,10796,Bruno Marc,49661.6
Amazon Essentials Women's Lace-Up Combat Boot,34.2,4.5,11028,Amazon Essentials,49626.0
adidas Men's Advantage Sneaker,64.99,4.6,10737,adidas,49390.2
Hey Dude Boy's Wally Youth Multiple Colors | Boy’s Shoes | Boy's Lace Up Loafers | Comfortable & Light-Weight,44.84,4.7,10488,Hey Dude,49293.6
Skechers Men's Braver-Rayland Slip-On Loafer,73.91,4.5,10934,Skechers,49203.0
Skechers Women's D'Lites-Life Saver Memory Foam Lace-up Sneaker,49.99,4.4,11127,Skechers,48958.8
New Balance Men's 577 V1 Lace-up Walking Shoe,83.99,4.3,11318,New Balance,48667.4
Crocs Santa Cruz Realtree Edge Slip-On,32.0,4.7,10299,Crocs,48405.3
